"year"	"title"	"url"	"index"	"img_file"
"2017"	"La Sage femme"	"http://www.imdb.com/title/tt5348236/?ref_=nm_flmg_act_1"	"01"	"img00.png"
"2015"	"Marguerite"	"http://www.imdb.com/title/tt4428788/?ref_=nm_flmg_act_2"	"02"	"Catherine Frot/img02.jpg"
"2012"	"Les saveurs du Palais"	"http://www.imdb.com/title/tt2094877/?ref_=nm_flmg_act_3"	"03"	"Catherine Frot/img03.jpg"
"2012"	"Associés contre le crime: L'oeuf d'Ambroise"	"http://www.imdb.com/title/tt2175565/?ref_=nm_flmg_act_4"	"04"	"Catherine Frot/img04.jpg"
"2012"	"Bowling"	"http://www.imdb.com/title/tt2271777/?ref_=nm_flmg_act_5"	"05"	"Catherine Frot/img05.jpg"
"2011"	"Coup d'éclat"	"http://www.imdb.com/title/tt1900856/?ref_=nm_flmg_act_6"	"06"	"Catherine Frot/img06.jpg"
"2010"	"Le mystère"	"http://www.imdb.com/title/tt1784512/?ref_=nm_flmg_act_7"	"07"	"img00.png"
"2010"	"Imogène McCarthery"	"http://www.imdb.com/title/tt1376421/?ref_=nm_flmg_act_8"	"08"	"Catherine Frot/img08.jpg"
"2009"	"Le vilain"	"http://www.imdb.com/title/tt1194242/?ref_=nm_flmg_act_9"	"09"	"Catherine Frot/img09.jpg"
"2009"	"Les derniers jours du monde"	"http://www.imdb.com/title/tt1390405/?ref_=nm_flmg_act_10"	"10"	"Catherine Frot/img10.jpg"
"2008"	"Le crime est notre affaire"	"http://www.imdb.com/title/tt1206478/?ref_=nm_flmg_act_11"	"11"	"Catherine Frot/img11.jpg"
"2008"	"L'empreinte de l'ange"	"http://www.imdb.com/title/tt1146314/?ref_=nm_flmg_act_12"	"12"	"Catherine Frot/img12.jpg"
"2006"	"Odette Toulemonde"	"http://www.imdb.com/title/tt0486636/?ref_=nm_flmg_act_14"	"13"	"Catherine Frot/img13.jpg"
"2006"	"Le passager de l'été"	"http://www.imdb.com/title/tt0465241/?ref_=nm_flmg_act_15"	"14"	"Catherine Frot/img14.jpg"
"2006"	"La tourneuse de pages"	"http://www.imdb.com/title/tt0487503/?ref_=nm_flmg_act_16"	"15"	"Catherine Frot/img15.jpg"
"2005"	"Mon petit doigt m'a dit..."	"http://www.imdb.com/title/tt0445570/?ref_=nm_flmg_act_17"	"16"	"Catherine Frot/img16.jpg"
"2005"	"Boudu"	"http://www.imdb.com/title/tt0423877/?ref_=nm_flmg_act_18"	"17"	"Catherine Frot/img17.jpg"
"2004"	"Les soeurs fâchées"	"http://www.imdb.com/title/tt0410639/?ref_=nm_flmg_act_19"	"18"	"Catherine Frot/img18.jpg"
"2004"	"Vipère au poing"	"http://www.imdb.com/title/tt0380798/?ref_=nm_flmg_act_20"	"19"	"img00.png"
"2004"	"Je suis votre homme"	"http://www.imdb.com/title/tt0322830/?ref_=nm_flmg_act_21"	"20"	"img00.png"
"2003"	"7 ans de mariage"	"http://www.imdb.com/title/tt0339525/?ref_=nm_flmg_act_22"	"21"	"Catherine Frot/img21.jpg"
"2003"	"Chouchou"	"http://www.imdb.com/title/tt0328955/?ref_=nm_flmg_act_23"	"22"	"Catherine Frot/img22.jpg"
"2002"	"Après la vie"	"http://www.imdb.com/title/tt0233230/?ref_=nm_flmg_act_25"	"23"	"Catherine Frot/img23.jpg"
"2002"	"Un couple épatant"	"http://www.imdb.com/title/tt0234940/?ref_=nm_flmg_act_26"	"24"	"Catherine Frot/img24.jpg"
"2002"	"Cavale"	"http://www.imdb.com/title/tt0233418/?ref_=nm_flmg_act_27"	"25"	"Catherine Frot/img25.jpg"
"2001"	"Chaos"	"http://www.imdb.com/title/tt0265116/?ref_=nm_flmg_act_28"	"26"	"Catherine Frot/img26.jpg"
"2001"	"Mercredi, folle journée!"	"http://www.imdb.com/title/tt0244071/?ref_=nm_flmg_act_29"	"27"	"Catherine Frot/img27.jpg"
"1999"	"À vot' service"	"http://www.imdb.com/title/tt0303749/?ref_=nm_flmg_act_30"	"28"	"img00.png"
"1999"	"Europe secours"	"http://www.imdb.com/title/tt0382020/?ref_=nm_flmg_act_32"	"29"	"img00.png"
"1999"	"Inséparables"	"http://www.imdb.com/title/tt0216834/?ref_=nm_flmg_act_33"	"30"	"img00.png"
"1999"	"La dilettante"	"http://www.imdb.com/title/tt0205011/?ref_=nm_flmg_act_34"	"31"	"Catherine Frot/img31.jpg"
"1999"	"La nouvelle Ève"	"http://www.imdb.com/title/tt0186397/?ref_=nm_flmg_act_35"	"32"	"Catherine Frot/img32.jpg"
"1998"	"Il suffirait d'un pont"	"http://www.imdb.com/title/tt0176836/?ref_=nm_flmg_act_36"	"33"	"img00.png"
"1998"	"Dormez, je le veux!"	"http://www.imdb.com/title/tt0168703/?ref_=nm_flmg_act_38"	"34"	"img00.png"
"1998"	"Ça reste entre nous"	"http://www.imdb.com/title/tt0120564/?ref_=nm_flmg_act_39"	"35"	"img00.png"
"1998"	"Paparazzi"	"http://www.imdb.com/title/tt0133314/?ref_=nm_flmg_act_40"	"36"	"Catherine Frot/img36.jpg"
"1998"	"Le dîner de cons"	"http://www.imdb.com/title/tt0119038/?ref_=nm_flmg_act_41"	"37"	"Catherine Frot/img37.jpg"
"1996"	"Un air de famille"	"http://www.imdb.com/title/tt0118015/?ref_=nm_flmg_act_46"	"38"	"Catherine Frot/img38.jpg"
"1994"	"Une femme dans l'ennui"	"http://www.imdb.com/title/tt0228993/?ref_=nm_flmg_act_49"	"39"	"img00.png"
"1994"	"J'ai pas sommeil"	"http://www.imdb.com/title/tt0110171/?ref_=nm_flmg_act_51"	"40"	"Catherine Frot/img40.jpg"
"1993"	"Vent d'est"	"http://www.imdb.com/title/tt0108480/?ref_=nm_flmg_act_53"	"41"	"Catherine Frot/img41.jpg"
"1992"	"Vieille canaille"	"http://www.imdb.com/title/tt0105752/?ref_=nm_flmg_act_55"	"42"	"Catherine Frot/img42.jpg"
"1992"	"Juste avant l'orage"	"http://www.imdb.com/title/tt0107293/?ref_=nm_flmg_act_56"	"43"	"img00.png"
"1991"	"Sushi Sushi"	"http://www.imdb.com/title/tt0103011/?ref_=nm_flmg_act_57"	"44"	"img00.png"
"1990"	"Bienvenue à bord!"	"http://www.imdb.com/title/tt0099132/?ref_=nm_flmg_act_60"	"45"	"Catherine Frot/img45.jpg"
"1990"	"Tom et Lola"	"http://www.imdb.com/title/tt0098488/?ref_=nm_flmg_act_61"	"46"	"Catherine Frot/img46.jpg"
"1989"	"Chambre à part"	"http://www.imdb.com/title/tt0099238/?ref_=nm_flmg_act_62"	"47"	"Catherine Frot/img47.jpg"
"1987"	"La voix du désert"	"http://www.imdb.com/title/tt0318815/?ref_=nm_flmg_act_65"	"48"	"Catherine Frot/img48.jpg"
"1987"	"Le moine et la sorcière"	"http://www.imdb.com/title/tt0093556/?ref_=nm_flmg_act_66"	"49"	"Catherine Frot/img49.jpg"
"1985"	"Mélodie pour un cafard"	"http://www.imdb.com/title/tt0316295/?ref_=nm_flmg_act_69"	"50"	"img00.png"
"1985"	"Elsa, Elsa"	"http://www.imdb.com/title/tt0089082/?ref_=nm_flmg_act_70"	"51"	"img00.png"
"1985"	"Escalier C"	"http://www.imdb.com/title/tt0089103/?ref_=nm_flmg_act_71"	"52"	"Catherine Frot/img52.jpg"
"1984"	"Du sel sur la peau"	"http://www.imdb.com/title/tt0258538/?ref_=nm_flmg_act_72"	"53"	"Catherine Frot/img53.jpg"
"1983"	"Une pierre dans la bouche"	"http://www.imdb.com/title/tt0086512/?ref_=nm_flmg_act_77"	"54"	"Catherine Frot/img54.jpg"
"1982"	"La nuit du lac"	"http://www.imdb.com/title/tt0316340/?ref_=nm_flmg_act_78"	"55"	"img00.png"
"1982"	"Les atours de l'oeil foudre"	"http://www.imdb.com/title/tt0437078/?ref_=nm_flmg_act_79"	"56"	"img00.png"
"1982"	"Si je réponds pas, c'est que je suis mort"	"http://www.imdb.com/title/tt0316604/?ref_=nm_flmg_act_80"	"57"	"img00.png"
"1982"	"Guy de Maupassant"	"http://www.imdb.com/title/tt0163653/?ref_=nm_flmg_act_82"	"58"	"Catherine Frot/img58.jpg"
"1981"	"Les babas cool"	"http://www.imdb.com/title/tt0082041/?ref_=nm_flmg_act_86"	"59"	"Catherine Frot/img59.jpg"
"1981"	"Psy"	"http://www.imdb.com/title/tt0081387/?ref_=nm_flmg_act_88"	"60"	"Catherine Frot/img60.jpg"
"1980"	"Mon oncle d'Amérique"	"http://www.imdb.com/title/tt0081176/?ref_=nm_flmg_act_89"	"61"	"Catherine Frot/img61.jpg"
"1975"	"Les charmes de l'été"	"http://www.imdb.com/title/tt0178128/?ref_=nm_flmg_act_93"	"62"	"img00.png"
